Postcode,Region,RegionA,Area
2587,Riverina,Riverina,Inland
2588,Riverina,Riverina,Inland
2589,Riverina,Riverina,Inland
2590,Riverina,Riverina,Inland
2591,Riverina,Riverina,Inland
2592,Riverina,Riverina,Inland
2593,Riverina,Riverina,Inland
2594,Riverina,Riverina,Inland
2600,Illawarra & South East NSW,Illawarra+SE,Coastal
2601,Illawarra & South East NSW,Illawarra+SE,Coastal
2602,Illawarra & South East NSW,Illawarra+SE,Coastal
2603,Illawarra & South East NSW,Illawarra+SE,Coastal
2604,Illawarra & South East NSW,Illawarra+SE,Coastal
2605,Illawarra & South East NSW,Illawarra+SE,Coastal
2606,Illawarra & South East NSW,Illawarra+SE,Coastal
2607,Illawarra & South East NSW,Illawarra+SE,Coastal
2608,Illawarra & South East NSW,Illawarra+SE,Coastal
2609,Illawarra & South East NSW,Illawarra+SE,Coastal
2610,Illawarra & South East NSW,Illawarra+SE,Coastal
2611,Illawarra & South East NSW,Illawarra+SE,Coastal
2612,Illawarra & South East NSW,Illawarra+SE,Coastal
2613,Illawarra & South East NSW,Illawarra+SE,Coastal
2614,Illawarra & South East NSW,Illawarra+SE,Coastal
2615,Illawarra & South East NSW,Illawarra+SE,Coastal
2616,Illawarra & South East NSW,Illawarra+SE,Coastal
2617,Illawarra & South East NSW,Illawarra+SE,Coastal
2618,Illawarra & South East NSW,Illawarra+SE,Coastal
2619,Illawarra & South East NSW,Illawarra+SE,Coastal
2620,Illawarra & South East NSW,Illawarra+SE,Coastal
2621,Illawarra & South East NSW,Illawarra+SE,Coastal
2622,Illawarra & South East NSW,Illawarra+SE,Coastal
2623,Illawarra & South East NSW,Illawarra+SE,Coastal
2624,Illawarra & South East NSW,Illawarra+SE,Coastal
2625,Illawarra & South East NSW,Illawarra+SE,Coastal
2626,Illawarra & South East NSW,Illawarra+SE,Coastal
2627,Illawarra & South East NSW,Illawarra+SE,Coastal
2628,Illawarra & South East NSW,Illawarra+SE,Coastal
2629,Illawarra & South East NSW,Illawarra+SE,Coastal
2630,Illawarra & South East NSW,Illawarra+SE,Coastal
2631,Illawarra & South East NSW,Illawarra+SE,Coastal
2632,Illawarra & South East NSW,Illawarra+SE,Coastal
2633,Illawarra & South East NSW,Illawarra+SE,Coastal
2640,Riverina,Riverina,Inland
2641,Riverina,Riverina,Inland
2642,Riverina,Riverina,Inland
2643,Riverina,Riverina,Inland
2644,Riverina,Riverina,Inland
2645,Riverina,Riverina,Inland
2646,Riverina,Riverina,Inland
2647,Riverina,Riverina,Inland
2648,Riverina,Riverina,Inland
2649,Riverina,Riverina,Inland
2650,Riverina,Riverina,Inland
2651,Riverina,Riverina,Inland
2652,Riverina,Riverina,Inland
2653,Riverina,Riverina,Inland
2654,Riverina,Riverina,Inland
2655,Riverina,Riverina,Inland
2656,Riverina,Riverina,Inland
2657,Riverina,Riverina,Inland
2658,Riverina,Riverina,Inland
2659,Riverina,Riverina,Inland
2660,Riverina,Riverina,Inland
2661,Riverina,Riverina,Inland
2662,Riverina,Riverina,Inland
2663,Riverina,Riverina,Inland
2665,Riverina,Riverina,Inland
2666,Riverina,Riverina,Inland
2667,Riverina,Riverina,Inland
2668,Riverina,Riverina,Inland
2669,Riverina,Riverina,Inland
2671,Western NSW,Western NSW,Inland
2672,Western NSW,Western NSW,Inland
2675,Riverina,Riverina,Inland
2678,Riverina,Riverina,Inland
2680,Riverina,Riverina,Inland
2681,Riverina,Riverina,Inland
2682,Riverina,Riverina,Inland
2683,Riverina,Riverina,Inland
2684,Riverina,Riverina,Inland
2685,Riverina,Riverina,Inland
2686,Riverina,Riverina,Inland
2687,Riverina,Riverina,Inland
2688,Riverina,Riverina,Inland
2689,Riverina,Riverina,Inland
2690,Riverina,Riverina,Inland
2691,Riverina,Riverina,Inland
2692,Riverina,Riverina,Inland
2693,Riverina,Riverina,Inland
2694,Riverina,Riverina,Inland
2695,Riverina,Riverina,Inland
2696,Riverina,Riverina,Inland
2697,Riverina,Riverina,Inland
2698,Riverina,Riverina,Inland
2699,Riverina,Riverina,Inland
2700,Riverina,Riverina,Inland
2701,Riverina,Riverina,Inland
2702,Riverina,Riverina,Inland
2703,Riverina,Riverina,Inland
2704,Riverina,Riverina,Inland
2705,Riverina,Riverina,Inland
2706,Riverina,Riverina,Inland
2707,Riverina,Riverina,Inland
2708,Riverina,Riverina,Inland
2709,Riverina,Riverina,Inland
2710,Riverina,Riverina,Inland
2711,Riverina,Riverina,Inland
2712,Riverina,Riverina,Inland
2713,Riverina,Riverina,Inland
2714,Riverina,Riverina,Inland
2715,Riverina,Riverina,Inland
2716,Riverina,Riverina,Inland
2717,Riverina,Riverina,Inland
2720,Riverina,Riverina,Inland
2721,Western NSW,Western NSW,Inland
2722,Riverina,Riverina,Inland
2723,Riverina,Riverina,Inland
2724,Riverina,Riverina,Inland
2725,Riverina,Riverina,Inland
2726,Riverina,Riverina,Inland
2727,Riverina,Riverina,Inland
2728,Riverina,Riverina,Inland
2729,Riverina,Riverina,Inland
2730,Riverina,Riverina,Inland
2731,Riverina,Riverina,Inland
2732,Riverina,Riverina,Inland
2733,Riverina,Riverina,Inland
2734,Riverina,Riverina,Inland
2735,Riverina,Riverina,Inland
2736,Riverina,Riverina,Inland
2737,Riverina,Riverina,Inland
2738,Riverina,Riverina,Inland
2739,Riverina,Riverina,Inland
2745,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2746,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2747,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2748,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2749,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2750,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2751,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2752,Southern & South Western Sydney,S+SW Sydney,Metro
2753,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2754,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2755,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2756,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2757,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2758,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2759,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2760,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2761,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2762,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2763,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2764,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2765,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2766,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2767,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2768,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2769,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2770,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2771,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2772,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2773,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2774,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2775,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2776,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2777,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2778,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2779,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2780,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2781,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2782,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2783,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2784,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2785,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2786,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2787,Western NSW,Western NSW,Inland
2788,Western NSW,Western NSW,Inland
2789,Western NSW,Western NSW,Inland
2790,Western NSW,Western NSW,Inland
2791,Western NSW,Western NSW,Inland
2792,Western NSW,Western NSW,Inland
2793,Western NSW,Western NSW,Inland
2794,Western NSW,Western NSW,Inland
2795,Western NSW,Western NSW,Inland
2796,Western NSW,Western NSW,Inland
2797,Western NSW,Western NSW,Inland
2798,Western NSW,Western NSW,Inland
2799,Western NSW,Western NSW,Inland
2800,Western NSW,Western NSW,Inland
2803,Riverina,Riverina,Inland
2804,Western NSW,Western NSW,Inland
2805,Western NSW,Western NSW,Inland
2806,Western NSW,Western NSW,Inland
2807,Riverina,Riverina,Inland
2808,Western NSW,Western NSW,Inland
2809,Western NSW,Western NSW,Inland
2810,Western NSW,Western NSW,Inland
2811,Western NSW,Western NSW,Inland
2812,Western NSW,Western NSW,Inland
2813,Western NSW,Western NSW,Inland
2814,Western NSW,Western NSW,Inland
2815,Western NSW,Western NSW,Inland
2816,Western NSW,Western NSW,Inland
2817,Western NSW,Western NSW,Inland
2818,Western NSW,Western NSW,Inland
2819,Western NSW,Western NSW,Inland
2820,Western NSW,Western NSW,Inland
2821,Western NSW,Western NSW,Inland
2822,Western NSW,Western NSW,Inland
2823,Western NSW,Western NSW,Inland
2824,Western NSW,Western NSW,Inland
2825,Western NSW,Western NSW,Inland
2826,Western NSW,Western NSW,Inland
2827,Western NSW,Western NSW,Inland
2828,Western NSW,Western NSW,Inland
2829,Western NSW,Western NSW,Inland
2830,Western NSW,Western NSW,Inland
2831,Western NSW,Western NSW,Inland
2832,Western NSW,Western NSW,Inland
2833,Western NSW,Western NSW,Inland
2834,Western NSW,Western NSW,Inland
2835,Western NSW,Western NSW,Inland
2836,Western NSW,Western NSW,Inland
2837,Western NSW,Western NSW,Inland
2838,Western NSW,Western NSW,Inland
2839,Western NSW,Western NSW,Inland
2840,Western NSW,Western NSW,Inland
2841,Western NSW,Western NSW,Inland
2842,Western NSW,Western NSW,Inland
2843,Western NSW,Western NSW,Inland
2844,Western NSW,Western NSW,Inland
2845,Western NSW,Western NSW,Inland
2846,Western NSW,Western NSW,Inland
2847,Western NSW,Western NSW,Inland
2848,Western NSW,Western NSW,Inland
2849,Western NSW,Western NSW,Inland
2850,Western NSW,Western NSW,Inland
2851,Western NSW,Western NSW,Inland
2852,Western NSW,Western NSW,Inland
2853,Western NSW,Western NSW,Inland
2854,Western NSW,Western NSW,Inland
2855,Western NSW,Western NSW,Inland
2856,Western NSW,Western NSW,Inland
2857,Western NSW,Western NSW,Inland
2858,Western NSW,Western NSW,Inland
2859,Western NSW,Western NSW,Inland
2860,Western NSW,Western NSW,Inland
2861,Western NSW,Western NSW,Inland
2862,Western NSW,Western NSW,Inland
2863,Western NSW,Western NSW,Inland
2864,Western NSW,Western NSW,Inland
2865,Western NSW,Western NSW,Inland
2866,Western NSW,Western NSW,Inland
2867,Western NSW,Western NSW,Inland
2868,Western NSW,Western NSW,Inland
2869,Western NSW,Western NSW,Inland
2870,Western NSW,Western NSW,Inland
2871,Western NSW,Western NSW,Inland
2872,Western NSW,Western NSW,Inland
2873,Western NSW,Western NSW,Inland
2874,Western NSW,Western NSW,Inland
2875,Western NSW,Western NSW,Inland
2876,Western NSW,Western NSW,Inland
2877,Western NSW,Western NSW,Inland
2878,Western NSW,Western NSW,Inland
2879,Western NSW,Western NSW,Inland
2880,Western NSW,Western NSW,Inland
2898,North Coast & Mid North Coast,N+MN Coast,Coastal
2899,North Coast & Mid North Coast,N+MN Coast,Coastal
2900,Illawarra & South East NSW,Illawarra+SE,Coastal
2901,Illawarra & South East NSW,Illawarra+SE,Coastal
2902,Illawarra & South East NSW,Illawarra+SE,Coastal
2903,Illawarra & South East NSW,Illawarra+SE,Coastal
2904,Illawarra & South East NSW,Illawarra+SE,Coastal
2905,Illawarra & South East NSW,Illawarra+SE,Coastal
2906,Illawarra & South East NSW,Illawarra+SE,Coastal
2907,Illawarra & South East NSW,Illawarra+SE,Coastal
2908,Illawarra & South East NSW,Illawarra+SE,Coastal
2909,Illawarra & South East NSW,Illawarra+SE,Coastal
2910,Illawarra & South East NSW,Illawarra+SE,Coastal
2911,Illawarra & South East NSW,Illawarra+SE,Coastal
2912,Illawarra & South East NSW,Illawarra+SE,Coastal
2913,Illawarra & South East NSW,Illawarra+SE,Coastal
2914,Illawarra & South East NSW,Illawarra+SE,Coastal
3644,Riverina,Riverina,Inland
4383,New England,New England,Inland
